Customer_Age,Education_Level,Income_Category,Months_on_book
45,High School,$60K - $80K,39
49,Graduate,Less than $40K,44
40,High School,Less than $40K,34
40,Uneducated,$60K - $80K,21
44,Graduate,$40K - $60K,36
32,High School,$60K - $80K,27
37,Uneducated,$60K - $80K,36
48,Graduate,$80K - $120K,36
42,Uneducated,$120K +,31
35,Graduate,$60K - $80K,30
48,Post-Graduate,$80K - $120K,36
45,Graduate,Unknown,37
47,Doctorate,$60K - $80K,42
41,High School,$40K - $60K,33
41,Graduate,Less than $40K,28
44,Uneducated,Unknown,34
47,High School,$40K - $60K,42
41,Graduate,$60K - $80K,36
42,High School,Less than $40K,36
45,Graduate,$80K - $120K,41
50,College,$40K - $60K,43
49,High School,$60K - $80K,37
38,Graduate,Unknown,28
49,Uneducated,$80K - $120K,30
46,High School,$80K - $120K,40
49,Graduate,Less than $40K,36
49,Graduate,Less than $40K,36
44,Graduate,Unknown,35
42,High School,$60K - $80K,34
48,Graduate,$60K - $80K,35
39,High School,$60K - $80K,33
44,Post-Graduate,$120K +,32
44,Uneducated,Less than $40K,20
49,Graduate,$60K - $80K,32
50,Doctorate,$80K - $120K,38
42,Uneducated,$80K - $120K,37
44,College,$60K - $80K,35
44,Graduate,Less than $40K,36
37,Uneducated,Less than $40K,29
49,Graduate,$60K - $80K,30
47,Graduate,$80K - $120K,38
47,Graduate,$60K - $80K,37
43,Uneducated,Less than $40K,35
44,High School,$60K - $80K,31
49,High School,$80K - $120K,38
45,Graduate,$40K - $60K,36
45,Graduate,$40K - $60K,35
49,College,Unknown,43
44,Graduate,Less than $40K,32
44,High School,$60K - $80K,25
43,Post-Graduate,Less than $40K,33
44,Uneducated,$60K - $80K,36
42,High School,$60K - $80K,36
48,Graduate,$80K - $120K,35
49,Graduate,$80K - $120K,36
50,High School,$80K - $120K,39
49,Doctorate,$60K - $80K,36
50,Graduate,$120K +,36
47,High School,$40K - $60K,41
47,Graduate,$60K - $80K,36
50,Uneducated,Less than $40K,36
42,Graduate,Less than $40K,36
47,Doctorate,Less than $40K,37
44,Graduate,$40K - $60K,38
45,College,$60K - $80K,40
39,Post-Graduate,Less than $40K,27
48,High School,Less than $40K,38
48,Uneducated,Less than $40K,38
41,Graduate,Less than $40K,32
47,Graduate,Unknown,36
41,High School,$80K - $120K,24
40,High School,$80K - $120K,28
50,Graduate,$40K - $60K,31
47,Uneducated,$60K - $80K,41
48,High School,$40K - $60K,38
49,Doctorate,$120K +,38
44,Uneducated,Unknown,35
43,Graduate,Less than $40K,34
46,Uneducated,$60K - $80K,36
50,Uneducated,$40K - $60K,40
47,Uneducated,Less than $40K,36
46,Graduate,$80K - $120K,33
45,Uneducated,Unknown,36
50,High School,$80K - $120K,45
41,High School,$40K - $60K,36
45,Graduate,$40K - $60K,36
45,Uneducated,$40K - $60K,34
47,Graduate,$60K - $80K,36
49,Uneducated,Unknown,38
49,Post-Graduate,$80K - $120K,33
50,High School,Less than $40K,36
41,Post-Graduate,Unknown,31
43,Graduate,$80K - $120K,27
47,High School,Less than $40K,34
41,High School,$120K +,36
44,Graduate,$60K - $80K,32
48,College,$80K - $120K,41
47,Graduate,$60K - $80K,33
47,Graduate,$60K - $80K,32
43,High School,Less than $40K,35
48,High School,$60K - $80K,36
43,High School,$40K - $60K,36
48,College,Less than $40K,36
43,Graduate,Less than $40K,31
41,High School,$80K - $120K,35
44,Uneducated,Less than $40K,38
44,Graduate,$80K - $120K,24
48,Graduate,$40K - $60K,39
44,Graduate,Less than $40K,27
41,High School,$80K - $120K,28
45,College,$60K - $80K,32
47,Uneducated,Less than $40K,34
41,Graduate,$120K +,29
44,Post-Graduate,$80K - $120K,36
43,College,$60K - $80K,37
44,Graduate,$80K - $120K,33
41,Uneducated,$40K - $60K,30
39,High School,$80K - $120K,36
49,College,$40K - $60K,45
45,College,Less than $40K,36
49,Uneducated,$80K - $120K,43
46,Doctorate,Unknown,36
46,High School,$120K +,30
47,Graduate,$60K - $80K,38
44,Doctorate,$60K - $80K,36
50,Post-Graduate,$120K +,31
45,Uneducated,$120K +,39
45,Uneducated,$40K - $60K,35
40,Graduate,$40K - $60K,23
36,College,$80K - $120K,22
41,Uneducated,$40K - $60K,32
43,Graduate,Unknown,23
40,Uneducated,$60K - $80K,29
45,Graduate,$80K - $120K,40
41,High School,$80K - $120K,36
42,Uneducated,Less than $40K,31
45,Graduate,$60K - $80K,36
42,Uneducated,Less than $40K,23
47,Uneducated,$80K - $120K,30
48,High School,$40K - $60K,42
