name_th,name_en,juristic_id,registration_type,company_status,registered_capital,number_of_years_in_operation,registration_date,phone_number,industry_group,business_size,tsic_code_year_of_update
,Huels-Brakus,6219385508248,92740,0,61101171,1,05/09/2022,636-498-3853,47654,723875,73860
,Sawayn-Wiza,3473556591341,66544,1,63499512,3,28/01/2020,302-126-4665,91770,325235,64925
,Schmitt and Sons,7710680545488,44143,1,43113839,1,03/09/2022,652-232-0904,73456,824345,7231
,Barrows Inc,1727256454508,47540,1,83019277,0,30/04/2023,438-161-5690,22797,740128,93354
,"McClure, Anderson and VonRueden",8624259272316,38635,0,88190284,1,02/06/2022,609-349-5239,26286,268698,48529
,Dickinson-Schinner,867415227586,33433,0,82508404,2,15/12/2021,515-515-5215,26365,610089,13887
,Hahn Inc,9719139773161,89152,0,63931341,3,02/05/2020,406-957-1378,97516,307444,25587
,Weber-King,6126820757908,29567,1,65394195,2,03/09/2021,964-924-6612,29213,153073,17772
,Welch-Stokes,7341348684804,74770,1,12216339,1,17/07/2022,168-786-0141,60268,485582,70707
,"Rice, Kling and Hilll",1420762796060,97142,0,3631386,2,27/11/2021,930-952-3005,16791,990576,41909
,O'Hara Inc,8714891824831,85137,1,89488241,1,27/11/2022,275-429-3740,18220,846433,62482
,Smitham-Schroeder,6332918735031,77450,1,52113122,0,28/04/2023,343-883-1339,53415,515092,48102
,"Wehner, Buckridge and Wiza",2119082920771,51210,1,48853285,2,12/02/2021,673-586-3858,23293,586146,26341
,Altenwerth LLC,9336171234519,61064,1,17386097,1,22/09/2022,167-284-2970,48049,545926,96749
,"Hayes, Nicolas and Vandervort",4147046099565,58972,0,62600985,3,13/08/2020,705-851-4532,59425,655827,7085
,"Douglas, Kilback and Schultz",1525733352604,63587,0,66460712,3,22/07/2020,639-950-3714,19292,204342,27322
,"Schmitt, Stamm and Wuckert",2372097404095,14896,0,47947038,3,23/12/2020,890-158-0547,22758,280323,82400
,"Hermann, Marvin and Effertz",9916336200186,43500,1,91225507,2,28/09/2021,440-982-3991,61229,381356,94371
,"Hayes, Hartmann and Runolfsdottir",3104046112684,48429,0,40164525,2,06/05/2021,110-216-7321,17891,81873,25599
,Pacocha Group,1464594828577,12756,1,69385181,2,18/03/2021,880-932-4600,13427,977317,88254
,Kihn Group,385235281010,38329,0,94616260,1,10/01/2022,657-115-0262,97202,845925,53808
,Kihn and Sons,6552854530101,51589,1,29484733,2,11/06/2021,264-413-2449,59599,513337,52575
,"Haag, Bode and Parisian",1181901016684,17176,1,53577873,2,31/07/2021,102-338-7503,81656,917422,17057
,"Nienow, Cummings and White",7730356104313,70377,0,2849209,1,31/01/2022,250-487-1381,9653,185967,26201
,Bailey-O'Keefe,1600789620438,76075,1,4343584,3,29/01/2020,563-130-4518,69622,605103,21316
